task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2846	0b/10d2f2	4359066	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.042)	CACHED	0	2026-08-01 18:49:51.125	29m 45s	2m 14s	175.7%	386.3 MB	690 MB	47.4 GB	75.2 MB
2851	25/2882e3	4359068	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.047)	CACHED	0	2026-08-01 18:50:01.275	29m 55s	2m 27s	173.1%	404.7 MB	625.6 MB	41.1 GB	77.8 MB
2852	ac/baa99c	4359083	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.048)	CACHED	0	2026-08-01 18:52:26.141	29m 10s	2m 54s	169.4%	377.3 MB	599.5 MB	53.3 GB	86.2 MB
2855	0d/d9cfe0	4359072	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.051)	CACHED	0	2026-08-01 18:50:21.132	32m 55s	5m 31s	181.2%	449.2 MB	634.5 MB	93.6 GB	148.5 MB
2854	5b/7f3a13	4359080	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.050)	CACHED	0	2026-08-01 18:51:36.128	27m 25s	14.1s	130.6%	50.6 MB	60.1 MB	1.7 GB	22.5 MB
2853	eb/8bd460	4359069	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.049)	CACHED	0	2026-08-01 18:50:01.317	33m 25s	6m 13s	179.9%	851 MB	1.1 GB	146 GB	159.9 MB
2856	b4/4007f7	4359070	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.052)	CACHED	0	2026-08-01 18:50:01.380	30m 55s	3m 37s	181.2%	428.6 MB	641.6 MB	87.9 GB	110.4 MB
2857	62/f13a72	4359084	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.053)	CACHED	0	2026-08-01 18:52:26.154	30m 10s	3m 38s	179.0%	413.5 MB	602.6 MB	78.1 GB	108.2 MB
2858	b6/221527	4359082	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.054)	CACHED	0	2026-08-01 18:52:21.139	31m 20s	4m 54s	177.5%	450.1 MB	643.1 MB	77.6 GB	133.4 MB
2859	e2/11c048	4359089	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.055)	CACHED	0	2026-08-01 18:53:11.134	30m 5s	3m 53s	179.4%	415.7 MB	3.1 GB	71.9 GB	114.8 MB
